Switch 2,Switch 1
<SwitchTrace  swid=2 qdepth=0 qtdelta=32 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=39 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=28 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=22 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=53 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=24 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=79 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=63 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=84 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=36 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=26 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=25 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=34 |>, <SwitchTrace  swid=1 qdepth=47 qtdelta=550375 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=53 |>, <SwitchTrace  swid=1 qdepth=55 qtdelta=1128351 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=40 |>, <SwitchTrace  swid=1 qdepth=45 qtdelta=740977 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=40 |>, <SwitchTrace  swid=1 qdepth=29 qtdelta=552975 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=34 |>, <SwitchTrace  swid=1 qdepth=56 qtdelta=1127526 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=40 |>, <SwitchTrace  swid=1 qdepth=3 qtdelta=746087 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=27 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=39 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=26 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=70 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=28 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=40 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=35 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=33 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=28 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=33 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=28 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=29 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=39 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=37 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=25 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=29 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=36 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=31 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=36 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=35 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=29 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=39 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=27 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=33 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=29 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=33 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=28 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=34 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=26 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=31 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=37 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=30 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=29 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=32 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=26 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=56 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=32 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=33 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=35 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=41 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=33 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=37 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=33 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=47 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=30 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=37 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=26 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=29 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=33 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=41 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=28 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=33 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=51 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=37 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=33 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=21 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=30 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=27 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=50 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=32 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=45 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=39 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=31 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=34 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=77 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=27 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=94 |>, <SwitchTrace  swid=1 qdepth=17 qtdelta=194891 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=48 |>, <SwitchTrace  swid=1 qdepth=10 qtdelta=58298 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=34 |>, <SwitchTrace  swid=1 qdepth=36 qtdelta=638468 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=43 |>, <SwitchTrace  swid=1 qdepth=25 qtdelta=513893 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=41 |>, <SwitchTrace  swid=1 qdepth=54 qtdelta=813623 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=36 |>, <SwitchTrace  swid=1 qdepth=41 qtdelta=686094 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=89 |>, <SwitchTrace  swid=1 qdepth=22 qtdelta=467415 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=26 |>, <SwitchTrace  swid=1 qdepth=4 qtdelta=1019387 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=29 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=31106 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=34 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=27 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=27 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=45 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=26 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=20 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=29 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=41 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=33 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=33 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=28 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=34 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=34 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=34 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=37 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=28 |>] |>
<SwitchTrace  swid=2 qdepth=0 qtdelta=34 |>, <SwitchTrace  swid=1 qdepth=0 qtdelta=71 |>] |>
